OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
117,98241,98241,061,Standard,Snohomish County,DARRINGTON,489725.414004308,10702285395.5811
118,98249,98249,029,Standard,Island County,FREELAND,187305.287925316,489559826.601925
119,98251,98251,061,Standard,Snohomish County,GOLD BAR,206674.517717975,1568289197.52114
120,98252,98252,061,Standard,Snohomish County,GRANITE FALLS,664264.325715977,11437104886.6954
121,98253,98253,029,Standard,Island County,GREENBANK,109236.700930827,282507857.046367
122,98255,98255,057,Standard,Skagit County,HAMILTON,22577.823624871,19391164.714395
123,98256,98256,061,Standard,Snohomish County,INDEX,24644.9547183985,14619266.1797037
124,98257,98257,057,Standard,Skagit County,LA CONNER,208173.488659181,457725324.466646
125,98258,98258,061,Standard,Snohomish County,LAKE STEVENS,236953.109074591,1083787709.03146
126,98260,98260,029,Standard,Island County,LANGLEY,194065.991467157,719057160.935868
127,98263,98263,057,Standard,Skagit County,LYMAN,16720.1977330023,13889842.7356093
128,98267,98267,057,Standard,Skagit County,MARBLEMOUNT,733659.801296635,14040305221.5409
129,98270,98270,061,Standard,Snohomish County,MARYSVILLE,105906.911800873,421549068.331618
130,98271,98271,061,Standard,Snohomish County,MARYSVILLE,286137.614633333,1324393165.03441
131,98272,98272,061,Standard,Snohomish County,MONROE,288531.059253824,2518451369.08004
132,98273,98273,057,Standard,Skagit County,MOUNT VERNON,454055.101397798,2085018641.27703
133,98274,98274,057,Standard,Skagit County,MOUNT VERNON,292170.910799705,3005426653.87552
134,98275,98275,061,Standard,Snohomish County,MUKILTEO,85330.8258958277,184490818.867818
135,98277,98277,029,Standard,Island County,OAK HARBOR,272599.089955673,1710224980.26657
136,98282,98282,029,Standard,Island County,CAMANO ISLAND,269389.583075375,1117222305.67773
137,98282,98282,061,Standard,Snohomish County,CAMANO ISLAND,27067.8396116423,24093021.4970873
138,98283,98283,057,Standard,Skagit County,ROCKPORT,359130.601991465,3459183276.17548
139,98284,98284,057,Standard,Skagit County,SEDRO WOOLLEY,692149.73723187,13370683111.7764
140,98288,98288,033,PO Box,King County,SKYKOMISH,484898.033133958,8749431145.32362
141,98290,98290,061,Standard,Snohomish County,SNOHOMISH,370590.753063152,2963675477.21133
142,98292,98292,057,Standard,Skagit County,STANWOOD,24840.8732415658,15010160.9393331
143,98292,98292,061,Standard,Snohomish County,STANWOOD,257054.735199701,2032796333.68366
144,98294,98294,061,Standard,Snohomish County,SULTAN,640313.651363629,10720192477.8029
145,98296,98296,061,Standard,Snohomish County,SNOHOMISH,249586.675108215,1015487590.68561
146,98303,98303,053,Standard,Pierce County,ANDERSON ISLAND,100332.430277253,224054989.5658
147,98304,98304,053,Standard,Pierce County,ASHFORD,568301.221286425,8009829760.31804
148,98310,98310,035,Standard,Kitsap County,BREMERTON,72436.4876544701,171620837.465228
149,98311,98311,035,Standard,Kitsap County,BREMERTON,121199.94945961,288793221.873118
150,98312,98312,035,Standard,Kitsap County,BREMERTON,375529.168519997,1857664566.524
151,98312,98312,045,Standard,Mason County,BREMERTON,5639.97885393055,2020707.57729601
152,98314,98314,035,Unique,Kitsap County,BREMERTON,48601.7310747652,16983168.6373887
153,98315,98315,035,Standard,Kitsap County,SILVERDALE,89840.6967548741,307301022.647014
154,98320,98320,031,Standard,Jefferson County,BRINNON,353979.686641897,3832565579.69877
155,98321,98321,053,Standard,Pierce County,BUCKLEY,525930.759342829,3305719579.07799
156,98323,98323,053,Standard,Pierce County,CARBONADO,121725.233598669,185781415.399666
157,98325,98325,031,Standard,Jefferson County,CHIMACUM,139463.444609155,777988876.894902
158,98327,98327,053,Standard,Pierce County,DUPONT,92683.1401353119,182964770.419068
159,98328,98328,053,Standard,Pierce County,EATONVILLE,351878.038261059,3854357707.05072
160,98329,98329,035,Standard,Kitsap County,GIG HARBOR,10595.0830018118,5263511.15537102
161,98329,98329,053,Standard,Pierce County,GIG HARBOR,170833.302857967,710660606.754627
162,98330,98330,053,Standard,Pierce County,ELBE,61470.7245030678,158424675.571787
163,98332,98332,053,Standard,Pierce County,GIG HARBOR,153730.643332096,571888464.760784
164,98333,98333,053,Standard,Pierce County,FOX ISLAND,77598.048520486,143543103.462987
165,98335,98335,053,Standard,Pierce County,GIG HARBOR,208960.307727813,636512363.133785
166,98337,98337,035,Standard,Kitsap County,BREMERTON,26291.4397241832,26304207.887419
167,98338,98338,053,Standard,Pierce County,GRAHAM,253771.141941377,1475876422.33598
168,98339,98339,031,Standard,Jefferson County,PORT HADLOCK,159894.372702225,336782483.818379
169,98340,98340,035,Standard,Kitsap County,HANSVILLE,97336.3219555713,205060366.767164
170,98342,98342,035,Standard,Kitsap County,INDIANOLA,52178.7253539804,94651219.0117015
171,98345,98345,035,PO Box,Kitsap County,KEYPORT,25005.6026396927,12546439.2347661
172,98346,98346,035,Standard,Kitsap County,KINGSTON,206651.855381405,761907696.449408
173,98349,98349,053,Standard,Pierce County,LAKEBAY,206757.025704614,602448441.636603
174,98351,98351,053,Standard,Pierce County,LONGBRANCH,110408.904119755,255170580.680853
175,98354,98354,033,Standard,King County,MILTON,25310.3807581497,15004870.6306687
176,98354,98354,053,Standard,Pierce County,MILTON,41666.4625317608,60437043.0642892
177,98358,98358,031,Standard,Jefferson County,NORDLAND,99157.5718546146,176275467.232597
178,98359,98359,035,Standard,Kitsap County,OLALLA,111023.458048174,377938430.979809
179,98360,98360,053,Standard,Pierce County,ORTING,499291.999786154,5353433322.04565
180,98365,98365,031,Standard,Jefferson County,PORT LUDLOW,259949.832668708,1044993798.47145
181,98366,98366,035,Standard,Kitsap County,PORT ORCHARD,205219.816372433,675036218.786595
182,98367,98367,035,Standard,Kitsap County,PORT ORCHARD,296546.393669494,2063169391.22405
183,98368,98368,031,Standard,Jefferson County,PORT TOWNSEND,350824.21080488,1469797062.4513
184,98370,98370,035,Standard,Kitsap County,POULSBO,367945.586946732,1575513926.61393
185,98371,98371,053,Standard,Pierce County,PUYALLUP,166324.610413672,343396139.305549
186,98372,98372,053,Standard,Pierce County,PUYALLUP,149975.366849496,368007471.879476
187,98373,98373,053,Standard,Pierce County,PUYALLUP,130045.327812124,264277761.71616
188,98374,98374,053,Standard,Pierce County,PUYALLUP,157300.770516284,441151757.280944
189,98375,98375,053,Standard,Pierce County,PUYALLUP,118178.738795798,283949801.719009
190,98376,98376,031,Standard,Jefferson County,QUILCENE,505043.690485449,3120435342.16445
191,98380,98380,035,Standard,Kitsap County,SEABECK,257543.335214792,1280829534.93358
192,98380,98380,045,Standard,Mason County,SEABECK,22288.8919097252,29929976.3816773
193,98382,98382,009,Standard,Clallam County,SEQUIM,599495.080937861,5375790664.15981
194,98382,98382,037,Standard,Kittitas County,SEQUIM,97518.3376088377,390336467.792281
195,98383,98383,035,Standard,Kitsap County,SILVERDALE,169303.365405474,501389205.129474
196,98385,98385,053,Standard,Pierce County,SOUTH PRAIRIE,26354.496588453,16032093.2715526
197,98387,98387,053,Standard,Pierce County,SPANAWAY,262452.848549456,596677239.956648
198,98388,98388,053,Standard,Pierce County,STEILACOOM,122711.063716702,258321754.264791
199,98390,98390,053,Standard,Pierce County,SUMNER,112585.794318416,265375634.319628
200,98391,98391,053,Standard,Pierce County,BONNEY LAKE,260905.318715255,1040708225.55228
201,98392,98392,035,Standard,Kitsap County,SUQUAMISH,44623.2815802389,51153302.6234107
202,98394,98394,053,Standard,Pierce County,VAUGHN,84753.685935724,127500582.990477
203,98396,98396,053,Standard,Pierce County,WILKESON,53184.0526694884,100115998.322335
204,98402,98402,053,Standard,Pierce County,TACOMA,34304.7100961871,27972369.2308779
205,98403,98403,053,Standard,Pierce County,TACOMA,51047.5491207674,30968620.4951113
206,98404,98404,053,Standard,Pierce County,TACOMA,98471.7957505332,203310669.533798
207,98405,98405,053,Standard,Pierce County,TACOMA,60571.3333935246,115027349.626589
208,98406,98406,053,Standard,Pierce County,TACOMA,103576.669858731,114254984.140586
209,98407,98407,053,Standard,Pierce County,TACOMA,82505.9673332244,153763663.022694
210,98408,98408,053,Standard,Pierce County,TACOMA,59797.1516607887,97064286.319263
211,98409,98409,053,Standard,Pierce County,TACOMA,85390.5308438357,196859240.850791
212,98416,98416,053,Unique,Pierce County,TACOMA,8779.92450159004,3913448.12913452
213,98418,98418,053,Standard,Pierce County,TACOMA,34252.1077790986,47010613.414646
214,98421,98421,053,Standard,Pierce County,TACOMA,121222.506399317,179296290.210343
215,98422,98422,033,Standard,King County,TACOMA,10181.569067469,1572075.39858872
216,98422,98422,053,Standard,Pierce County,TACOMA,86310.6254050402,185817809.015689
217,98424,98424,053,Standard,Pierce County,TACOMA,73429.1076997492,186557469.254585
218,98430,98430,053,Standard,Pierce County,CAMP MURRAY,16387.4097243827,12337901.2111293
219,98431,98431,053,Standard,Pierce County,TACOMA,7944.60212474792,4321605.1512947
220,98433,98433,053,Standard,Pierce County,TACOMA,384423.689916569,2932499827.29801
221,98438,98438,053,Standard,Pierce County,TACOMA,87379.8145862698,241187474.069971
222,98439,98439,053,Standard,Pierce County,LAKEWOOD,22104.0023513594,14240797.5383853
223,98443,98443,053,Standard,Pierce County,TACOMA,88983.0804827683,141354415.760813
224,98444,98444,053,Standard,Pierce County,TACOMA,116888.152698124,199207459.088806
225,98445,98445,053,Standard,Pierce County,TACOMA,163494.268220991,291278349.995493
226,98446,98446,053,Standard,Pierce County,TACOMA,153223.643164723,301658355.721746
227,98447,98447,053,Unique,Pierce County,TACOMA,13606.0218872715,6216458.40251767
228,98465,98465,053,Standard,Pierce County,TACOMA,53656.6982820218,41568008.4411834
229,98466,98466,053,Standard,Pierce County,TACOMA,87771.7272509258,176571998.312251
230,98467,98467,053,Standard,Pierce County,UNIVERSITY PLACE,75977.552885633,138070811.208753
231,98493,98493,053,Standard,Pierce County,TACOMA,24171.4955601984,27137620.6078792
232,98498,98498,053,Standard,Pierce County,LAKEWOOD,103568.081480516,267680901.010581
233,98499,98499,053,Standard,Pierce County,LAKEWOOD,92920.9163548571,258483287.552771
234,98501,98501,067,Standard,Thurston County,OLYMPIA,222793.991247557,1045654082.81276
235,98502,98502,045,Standard,Mason County,OLYMPIA,12316.5997750346,6966901.59019229
236,98502,98502,067,Standard,Thurston County,OLYMPIA,423304.925431826,1579377549.36924
237,98503,98503,067,Standard,Thurston County,LACEY,124057.018153425,345419003.752622
238,98506,98506,067,Standard,Thurston County,OLYMPIA,196299.12921004,630432036.693596
239,98512,98512,067,Standard,Thurston County,OLYMPIA,392407.915325725,4119064944.08039
240,98513,98513,067,Standard,Thurston County,OLYMPIA,295084.468641626,1294716965.1723
241,98516,98516,067,Standard,Thurston County,OLYMPIA,227889.184438767,794802159.270661
242,98524,98524,045,Standard,Mason County,ALLYN,130666.899634385,453625786.288094
243,98528,98528,035,Standard,Kitsap County,BELFAIR,23794.0060135017,9099747.25591659
244,98528,98528,045,Standard,Mason County,BELFAIR,425555.767523993,1939803831.75085
245,98528,98528,053,Standard,Pierce County,BELFAIR,18560.5937599526,6916667.35735163
246,98531,98531,067,Standard,Thurston County,CENTRALIA,210454.331113478,935059511.255969
247,98541,98541,045,Standard,Mason County,ELMA,230388.127890221,2015366206.68173
248,98546,98546,045,Standard,Mason County,GRAPEVIEW,204835.249313839,765858937.835368
249,98548,98548,045,Standard,Mason County,HOODSPORT,277347.935235361,1839996457.73068
250,98555,98555,045,Standard,Mason County,LILLIWAUP,323758.493770106,3127518591.67709
251,98557,98557,045,Standard,Mason County,MCCLEARY,24984.1229213621,22582285.810931
252,98558,98558,053,Standard,Pierce County,MCKENNA,16746.2349716733,6875372.07559173
253,98560,98560,045,Standard,Mason County,MATLOCK,212838.641209319,1998687073.16525
254,98563,98563,045,Standard,Mason County,MONTESANO,430111.454340595,3918555856.61361
255,98576,98576,067,Standard,Thurston County,RAINIER,385840.906108545,2538164690.30753
256,98579,98579,067,Standard,Thurston County,ROCHESTER,252301.627298289,1470141583.85883
257,98580,98580,053,Standard,Pierce County,ROY,248882.972154399,1780789516.0424
258,98584,98584,045,Standard,Mason County,SHELTON,1029221.53380418,8965316578.84654
259,98588,98588,045,Standard,Mason County,TAHUYA,208561.88627923,1398938716.3671
260,98589,98589,067,Standard,Thurston County,TENINO,325026.396412497,2693052453.39994
261,98592,98592,045,Standard,Mason County,UNION,158934.985908614,673943473.284675
262,98597,98597,067,Standard,Thurston County,YELM,469274.372222346,3085238695.74213
263,98826,98826,007,Standard,Chelan County,LEAVENWORTH,845445.55716711,26179809163.314
264,98922,98922,037,Standard,Kittitas County,CLE ELUM,871202.840237999,17220076339.3718
265,98925,98925,037,Standard,Kittitas County,EASTON,513881.754022364,5997914900.89208
266,98926,98926,037,Standard,Kittitas County,ELLENSBURG,947568.861297756,32490465853.3339
267,98934,98934,037,PO Box,Kittitas County,KITTITAS,21908.6905747336,12289665.0654034
268,98937,98937,077,Standard,Yakima County,NACHES,492873.204053677,10614499458.9652
269,98940,98940,037,PO Box,Kittitas County,RONALD,465055.066389631,5451150403.16679
270,98941,98941,037,PO Box,Kittitas County,ROSLYN,128017.069816111,357024286.209639
271,98943,98943,037,PO Box,Kittitas County,SOUTH CLE ELUM,14265.7191524655,10064275.3951149
272,98946,98946,037,Standard,Kittitas County,THORP,148179.572806545,836663894.394367
273,98950,98950,037,PO Box,Kittitas County,VANTAGE,209701.375729646,915724778.757058
